518.3126,518.3334
534.2863,534.3077
542.3123,542.3339
544.3277,544.3495
546.3435,546.3653
562.3172,562.3396
569.3538,569.3766
576.3327,576.3557
725.5445,725.5735
728.5076,728.5368
741.5183,741.5479
754.5229,754.5531
756.5384,756.5686
768.5752,768.606
780.5381,780.5693
782.5539,782.5853
790.5587,790.5903
796.5119,796.5437
802.5216,802.5538
804.5377,804.5699
806.5541,806.5863
808.5691,808.6015
810.5858,810.6182
812.4946,812.5272
816.5741,816.6067
826.5593,826.5923
828.5373,828.5705
830.553,830.5862
832.5686,832.602
834.5859,834.6193
835.6523,835.6857
846.5271,846.5609
848.5424,848.5764
856.5685,856.6027
858.5849,858.6193
